Collaboration_Performance.Parameters,Collaboration_Design.Reasoning,Collaboration_Client.and.Consultant.Requests,Collaboration_Technical.Constraints,Collaboration_Data,Performance.Parameters_Design.Reasoning,Performance.Parameters_Client.and.Consultant.Requests,Performance.Parameters_Technical.Constraints,Performance.Parameters_Data,Design.Reasoning_Client.and.Consultant.Requests,Design.Reasoning_Technical.Constraints,Design.Reasoning_Data,Client.and.Consultant.Requests_Technical.Constraints,Client.and.Consultant.Requests_Data,Technical.Constraints_Data
,,,,,"['yea the payload, agility and cost are excellent | The only thing I can say is do we want to sacrifice agility to bring down safety and raise recharge with number 2']",,['@Samuel: What material? and was it good? | can you provide other parameter of the one with the safety of 162'],,,['the only thing lacking in the pneumatic was its safety | In my opinion that is a rather large downside to it--my thought process wondered about the point of an exoskeleton if it cannot enhance your strength much.'],"['I was just trying to make series elastic cheaper | the best one from my former team is payload 580, agility 257,recharge interval 6,9, cost 14915, safety 190']",,,['ya its just not as safe as the others so we have to be careful to keep the risk number low | Yeah i like the optic binary especially for cost']
,,,,,['The only thing I can say is do we want to sacrifice agility to bring down safety and raise recharge with number 2'],,['@Samuel: What material? and was it good? | can you provide other parameter of the one with the safety of 162'],,,['the only thing lacking in the pneumatic was its safety | In my opinion that is a rather large downside to it--my thought process wondered about the point of an exoskeleton if it cannot enhance your strength much.'],"['I was just trying to make series elastic cheaper | the best one from my former team is payload 580, agility 257,recharge interval 6,9, cost 14915, safety 190']",,,['ya its just not as safe as the others so we have to be careful to keep the risk number low | yeah so we could match it up with NiCd']
,,,,,"['yea the payload, agility and cost are excellent | The only thing I can say is do we want to sacrifice agility to bring down safety and raise recharge with number 2']",,"['can you provide other parameter of the one with the safety of 162 | yes, steel, NiCd, Piezoelectric, and ROM 5']",,,"[""In my opinion that is a rather large downside to it--my thought process wondered about the point of an exoskeleton if it cannot enhance your strength much. | I'm going with Pneumatic""]","['the best one from my former team is payload 580, agility 257,recharge interval 6,9, cost 14915, safety 190 | @Cameron: I like it, but ROM 5 will get the lowest recharge interval']",,,['ya its just not as safe as the others so we have to be careful to keep the risk number low | yeah so we could match it up with NiCd']
,,,,,['The only thing I can say is do we want to sacrifice agility to bring down safety and raise recharge with number 2 | The only thing I can say is do we want to sacrifice agility to bring down safety and raise recharge with number 2'],,['@Cameron: that one had the best safety but a low payload relative to our other designs.  We used a composite material'],,,"['In my opinion that is a rather large downside to it--my thought process wondered about the point of an exoskeleton if it cannot enhance your strength much. | @Cameron: The pneumatic actuator had plenty of safety according to the internal consultants\' requests--199 was the ""middle"" request for RPN']","['the best one from my former team is payload 580, agility 257,recharge interval 6,9, cost 14915, safety 190 | ok what ROM would be better, or would Optic Binary make up for it?']",,,['i say composite we already using the cheap battery']
,,,,,['The only thing I can say is do we want to sacrifice agility to bring down safety and raise recharge with number 2 | Its a pretty big hit on safety and agility'],,['@Samuel: What material? and was it good? | @Cameron: that one had the best safety but a low payload relative to our other designs.  We used a composite material'],,,['In my opinion that is a rather large downside to it--my thought process wondered about the point of an exoskeleton if it cannot enhance your strength much. | Alright then should we go with the Pneumatic?'],"['@Cameron: I like it, but ROM 5 will get the lowest recharge interval | ok what ROM would be better, or would Optic Binary make up for it?']",,,['Yeah i feel like composite might be really nice despite the high cost']
,,,,,['The only thing I can say is do we want to sacrifice agility to bring down safety and raise recharge with number 2 | Its a pretty big hit on safety and agility'],,['can you provide other parameter of the one with the safety of 162 | @Cameron: that one had the best safety but a low payload relative to our other designs.  We used a composite material'],,,['It looks like everyone is agreeing on pneumatic to me. | I was looking at my earlier prototypes and that seems to be the best one.'],"['@Cameron: I like it, but ROM 5 will get the lowest recharge interval | ok what ROM would be better, or would Optic Binary make up for it?']",,,['i say composite we already using the cheap battery | Yeah i feel like composite might be really nice despite the high cost']
,,,,,"[""The only thing I can say is do we want to sacrifice agility to bring down safety and raise recharge with number 2 | I wonder what's the agility standard said by the internal consultant""]",,"['yes, steel, NiCd, Piezoelectric, and ROM 5 | @Cameron: that one had the best safety but a low payload relative to our other designs.  We used a composite material']",,,['I was looking at my earlier prototypes and that seems to be the best one. | pneumatic / ROM 4 / aluminum / NiCd / piezoelectric'],['piezoelectric is even worse in cost | satrin-gauge cost is low'],,,['Yeah i feel like composite might be really nice despite the high cost | Wait what battery are we using?']
,,,,,"[""The only thing I can say is do we want to sacrifice agility to bring down safety and raise recharge with number 2 | I wonder what's the agility standard said by the internal consultant""]",,['@Cameron: that one had the best safety but a low payload relative to our other designs.  We used a composite material | @James: I think Piezoelectric'],,,"['pneumatic / ROM 4 / aluminum / NiCd / piezoelectric | @Justin Kim: Do we have to submit anything individually to show our final design proposal, or are you reporting it?']",['piezoelectric is even worse in cost | satrin-gauge cost is low'],,,['I think we all like the NiCd | I think you guys should bring up the resource for the ROMs.']
,,,,,['The only thing I can say is do we want to sacrifice agility to bring down safety and raise recharge with number 2 | So we all agree that we are going to chose design 5 for our final presentation?'],,"['@James: I think Piezoelectric | @Cameron: agility yes, payload yes, everything else no']",,,['I think our best plan of action is to test a batch that allows us to view at least two different actuators (our two best choices that we will decide now) and also how a change in battery or other variable will effect these skeletons'],['yeah I just wish the agility on #2 was higher. that would have been a great design'],,,"['ROM is a tough choice, because where one is good its bad on another graph']"
,,,,,['Its a pretty big hit on safety and agility | So we all agree that we are going to chose design 5 for our final presentation?'],,"['@James: To maximize safety with series elastic, I would try Steel, PFC, and Optic-binary or strain gauge']",,,"[""How did everyone's specific actuator perform in the tests? | I think our best plan of action is to test a batch that allows us to view at least two different actuators (our two best choices that we will decide now) and also how a change in battery or other variable will effect these skeletons""]",['#5 safety is comprable to our designs also | yeah I just wish the agility on #2 was higher. that would have been a great design'],,,"['I think you guys should bring up the resource for the ROMs. | ROM is a tough choice, because where one is good its bad on another graph']"
,,,,,"[""I wonder what's the agility standard said by the internal consultant | So we all agree that we are going to chose design 5 for our final presentation?""]",,"['recharge interval is important too... can we replace one of the component in the design to make up this aspect a bit | @James: To maximize safety with series elastic, I would try Steel, PFC, and Optic-binary or strain gauge']",,,['Pneumatic actuators use pressurized air to produce mechanical movement.  The use of gas makes these actuators very energy efficient and cost-effective.  Unfortunately it does limit the payload and agility features. | I think our best plan of action is to test a batch that allows us to view at least two different actuators (our two best choices that we will decide now) and also how a change in battery or other variable will effect these skeletons'],['yeah I just wish the agility on #2 was higher. that would have been a great design'],,,"['ROM is a tough choice, because where one is good its bad on another graph']"
,,,,,"['So we all agree that we are going to chose design 5 for our final presentation? | Okay i was just pointing out how close #2 is to #5 just with bad agility, but i agree on #5 as well. and the agility standard is a min of 122 but they would like to see it in the 200s']",,"['@James: To maximize safety with series elastic, I would try Steel, PFC, and Optic-binary or strain gauge | No, none of them were safe enough and cost too much.  They were at least pretty close to having good enough recharge interval.  They were awesome for payload and agility']",,,"['Series Elastic Actuators are electric actuators with an elastic element that makes them much safer. However, this elastic system makes them very expensive with a very short recharge interval. | I think our best plan of action is to test a batch that allows us to view at least two different actuators (our two best choices that we will decide now) and also how a change in battery or other variable will effect these skeletons']",['#5 safety is comprable to our designs also | yeah I just wish the agility on #2 was higher. that would have been a great design'],,,"['I think you guys should bring up the resource for the ROMs. | ROM is a tough choice, because where one is good its bad on another graph']"
,,,,,"['So we all agree that we are going to chose design 5 for our final presentation? | Okay i was just pointing out how close #2 is to #5 just with bad agility, but i agree on #5 as well. and the agility standard is a min of 122 but they would like to see it in the 200s']",,"['what the bottom line of the safety? | how do you guys feel about this idea? Alum, PFC, Peizoelectric, Hydraulic, and whatever rom works best with this actuator?']",,,['Pneumatic actuators use pressurized air to produce mechanical movement.  The use of gas makes these actuators very energy efficient and cost-effective.  Unfortunately it does limit the payload and agility features. | @Kevin: did you find it fairly simple to meet at least the minimum requirements of the consultants with your prototypes?'],['yeah I just wish the agility on #2 was higher. that would have been a great design | yeah I just wish the agility on #2 was higher. that would have been a great design'],,,"['ROM is a tough choice, because where one is good its bad on another graph | ROM is a tough choice, because where one is good its bad on another graph']"
,,,,,"['Okay i was just pointing out how close #2 is to #5 just with bad agility, but i agree on #5 as well. and the agility standard is a min of 122 but they would like to see it in the 200s | @Cameron: then i still choose #5']",,"['what the bottom line of the safety? | how do you guys feel about this idea? Alum, PFC, Peizoelectric, Hydraulic, and whatever rom works best with this actuator?']",,,"['Series Elastic Actuators are electric actuators with an elastic element that makes them much safer. However, this elastic system makes them very expensive with a very short recharge interval. | @Kevin: did you find it fairly simple to meet at least the minimum requirements of the consultants with your prototypes?']","['yeah I just wish the agility on #2 was higher. that would have been a great design | The safety is really not bad on this design (5), and the improvements in other areas were very good']",,,['The problem with the ROM of 5 or 6 is the recharge interval is poor']
,,,,,"[""@Nassim Tehrani: it almost satisfies everyone. And where it doesn't meet their standards it comes very close to it. It comes closer than the other devices though for sure. We lack a little in cost, safety, and recharge, but we are very close the values.""]",,['what the bottom line of the safety? | ROM 5 is best for electric'],,,['I think our best plan of action is to test a batch that allows us to view at least two different actuators (our two best choices that we will decide now) and also how a change in battery or other variable will effect these skeletons | @Kevin: did you find it fairly simple to meet at least the minimum requirements of the consultants with your prototypes?'],"['yeah I just wish the agility on #2 was higher. that would have been a great design | The safety is really not bad on this design (5), and the improvements in other areas were very good']",,,"['ROM is a tough choice, because where one is good its bad on another graph | The problem with the ROM of 5 or 6 is the recharge interval is poor']"
,,,,,"[""@Cameron: then i still choose #5 | @Nassim Tehrani: it almost satisfies everyone. And where it doesn't meet their standards it comes very close to it. It comes closer than the other devices though for sure. We lack a little in cost, safety, and recharge, but we are very close the values.""]",,"['I was just trying to make series elastic cheaper | the best one from my former team is payload 580, agility 257,recharge interval 6,9, cost 14915, safety 190']",,,"['Due to the incompressible nature of hydraulic fluid, hydraulic actuators are very strong but also require more energy to function. So our prototypes had very high payloads across the board but at the price of lower agility and recharge intervals.']",['yeah I just wish the agility on #2 was higher. that would have been a great design | He recommended no higher than 199 but the company high is 225'],,,"['ROM is a tough choice, because where one is good its bad on another graph | The problem with the ROM of 5 or 6 is the recharge interval is poor']"
,,,,,"[""@Nassim Tehrani: it almost satisfies everyone. And where it doesn't meet their standards it comes very close to it. It comes closer than the other devices though for sure. We lack a little in cost, safety, and recharge, but we are very close the values.""]",,"['Okay what about series elastic, NiCd, Optic Binary, Steel and ROM 5...open to opinion on it | the best one from my former team is payload 580, agility 257,recharge interval 6,9, cost 14915, safety 190']",,,"['Series Elastic Actuators are electric actuators with an elastic element that makes them much safer. However, this elastic system makes them very expensive with a very short recharge interval. | Due to the incompressible nature of hydraulic fluid, hydraulic actuators are very strong but also require more energy to function. So our prototypes had very high payloads across the board but at the price of lower agility and recharge intervals.']","['The safety is really not bad on this design (5), and the improvements in other areas were very good | He recommended no higher than 199 but the company high is 225']",,,"['ROM is a tough choice, because where one is good its bad on another graph | I think the payload takes to much of a dip for the increase in the battery interbal']"
,,,,,"[""@Cameron: then i still choose #5 | @Nassim Tehrani: it almost satisfies everyone. And where it doesn't meet their standards it comes very close to it. It comes closer than the other devices though for sure. We lack a little in cost, safety, and recharge, but we are very close the values.""]",,"['I was just trying to make series elastic cheaper | the best one from my former team is payload 580, agility 257,recharge interval 6,9, cost 14915, safety 190']",,,"['I think our best plan of action is to test a batch that allows us to view at least two different actuators (our two best choices that we will decide now) and also how a change in battery or other variable will effect these skeletons | Due to the incompressible nature of hydraulic fluid, hydraulic actuators are very strong but also require more energy to function. So our prototypes had very high payloads across the board but at the price of lower agility and recharge intervals.']","['The safety is really not bad on this design (5), and the improvements in other areas were very good | He recommended no higher than 199 but the company high is 225']",,,['The problem with the ROM of 5 or 6 is the recharge interval is poor | I think the payload takes to much of a dip for the increase in the battery interbal']
,,,,,"[""@Nassim Tehrani: it almost satisfies everyone. And where it doesn't meet their standards it comes very close to it. It comes closer than the other devices though for sure. We lack a little in cost, safety, and recharge, but we are very close the values. | @Nassim Tehrani: it almost satisfies everyone. And where it doesn't meet their standards it comes very close to it. It comes closer than the other devices though for sure. We lack a little in cost, safety, and recharge, but we are very close the values.""]",,"['the best one from my former team is payload 580, agility 257,recharge interval 6,9, cost 14915, safety 190 | I dont know how it looks like compared to other actuator']",,,"['@Kevin: did you find it fairly simple to meet at least the minimum requirements of the consultants with your prototypes? | Due to the incompressible nature of hydraulic fluid, hydraulic actuators are very strong but also require more energy to function. So our prototypes had very high payloads across the board but at the price of lower agility and recharge intervals.']",['He recommended no higher than 199 but the company high is 225 | I feel that the benefits in other aspects of design 5 outweigh the drwback of not so great saftey'],,,['at rom 5 we can say it is approx 3 and at rom 4 it is about 4.5']
,,,,,['And the cost is the lowest of any of our designs'],,"['@Cameron: I like it, but ROM 5 will get the lowest recharge interval']",,,['I think our best plan of action is to test a batch that allows us to view at least two different actuators (our two best choices that we will decide now) and also how a change in battery or other variable will effect these skeletons | @Nassim Tehrani: is there any way that we can share our final batch results with eachother?'],['He recommended no higher than 199 but the company high is 225 | I feel that the benefits in other aspects of design 5 outweigh the drwback of not so great saftey'],,,['The problem with the ROM of 5 or 6 is the recharge interval is poor | at rom 5 we can say it is approx 3 and at rom 4 it is about 4.5']
,,,,,"[""@Nassim Tehrani: it almost satisfies everyone. And where it doesn't meet their standards it comes very close to it. It comes closer than the other devices though for sure. We lack a little in cost, safety, and recharge, but we are very close the values. | And the cost is the lowest of any of our designs""]",,"['I was just trying to make series elastic cheaper | @Cameron: I like it, but ROM 5 will get the lowest recharge interval']",,,"['Due to the incompressible nature of hydraulic fluid, hydraulic actuators are very strong but also require more energy to function. So our prototypes had very high payloads across the board but at the price of lower agility and recharge intervals. | @Nassim Tehrani: is there any way that we can share our final batch results with eachother?']",['The only thing I can say is do we want to sacrifice agility to bring down safety and raise recharge with number 2'],,,['I think the payload takes to much of a dip for the increase in the battery interbal | at rom 5 we can say it is approx 3 and at rom 4 it is about 4.5']
,,,,,"[""@Nassim Tehrani: it almost satisfies everyone. And where it doesn't meet their standards it comes very close to it. It comes closer than the other devices though for sure. We lack a little in cost, safety, and recharge, but we are very close the values. | And the cost is the lowest of any of our designs""]",,"['the best one from my former team is payload 580, agility 257,recharge interval 6,9, cost 14915, safety 190 | @Cameron: I like it, but ROM 5 will get the lowest recharge interval']",,,['@Kevin: did you find it fairly simple to meet at least the minimum requirements of the consultants with your prototypes? | Nope.  The only requirement series elastic was good for was safety.'],['I feel that the benefits in other aspects of design 5 outweigh the drwback of not so great saftey | The only thing I can say is do we want to sacrifice agility to bring down safety and raise recharge with number 2'],,,['The problem with the ROM of 5 or 6 is the recharge interval is poor | Well I think where we do bad in ROM we should make up with other factors']
,,,,,"['One of my best prototypes had a payload of 560, agility of 296, recharge interval of 5.98, cost of 13835 and a safety of 196']",,"['I dont know how it looks like compared to other actuator | @Cameron: I like it, but ROM 5 will get the lowest recharge interval']",,,"['Due to the incompressible nature of hydraulic fluid, hydraulic actuators are very strong but also require more energy to function. So our prototypes had very high payloads across the board but at the price of lower agility and recharge intervals. | Nope.  The only requirement series elastic was good for was safety.']",['The only thing I can say is do we want to sacrifice agility to bring down safety and raise recharge with number 2'],,,['at rom 5 we can say it is approx 3 and at rom 4 it is about 4.5 | Well I think where we do bad in ROM we should make up with other factors']
,,,,,"[""I didn't have any great results but my best results were 700 payload, 122 agility, 7.6 recharge interval, 12440 cost and 229 safety rating""]",,"['the best one from my former team is payload 580, agility 257,recharge interval 6,9, cost 14915, safety 190 | ok what ROM would be better, or would Optic Binary make up for it?']",,,['@Nassim Tehrani: is there any way that we can share our final batch results with eachother? | Nope.  The only requirement series elastic was good for was safety.'],['The only thing I can say is do we want to sacrifice agility to bring down safety and raise recharge with number 2 | The only thing I can say is do we want to sacrifice agility to bring down safety and raise recharge with number 2'],,,['at rom 5 we can say it is approx 3 and at rom 4 it is about 4.5 | Well I think where we do bad in ROM we should make up with other factors']
,,,,,"[""One of my best prototypes had a payload of 560, agility of 296, recharge interval of 5.98, cost of 13835 and a safety of 196 | I didn't have any great results but my best results were 700 payload, 122 agility, 7.6 recharge interval, 12440 cost and 229 safety rating""]",,"['@Cameron: I like it, but ROM 5 will get the lowest recharge interval | ok what ROM would be better, or would Optic Binary make up for it?']",,,"[""Due to the incompressible nature of hydraulic fluid, hydraulic actuators are very strong but also require more energy to function. So our prototypes had very high payloads across the board but at the price of lower agility and recharge intervals. | I don't mean to interrupt, but I would suggest the electric actuator.""]",['The only thing I can say is do we want to sacrifice agility to bring down safety and raise recharge with number 2 | So we all agree that we are going to chose design 5 for our final presentation?'],,,['ROM 5 | so an hour and half increase for about 1000 n drop in payload']
,,,,,['The best PAM design had payload 524 agility 254 recharge interval 6.50 safety of 195 and cost 14810.'],,"['@Cameron: I like it, but ROM 5 will get the lowest recharge interval | ok what ROM would be better, or would Optic Binary make up for it?']",,,"[""@Nassim Tehrani: is there any way that we can share our final batch results with eachother? | I don't mean to interrupt, but I would suggest the electric actuator.""]","['So we all agree that we are going to chose design 5 for our final presentation? | Okay i was just pointing out how close #2 is to #5 just with bad agility, but i agree on #5 as well. and the agility standard is a min of 122 but they would like to see it in the 200s']",,,"[""Well at least we could use rom5 because that doesn't even increase the agility and there is some battery left | so an hour and half increase for about 1000 n drop in payload""]"
,,,,,"['One of my best prototypes had a payload of 560, agility of 296, recharge interval of 5.98, cost of 13835 and a safety of 196 | The best PAM design had payload 524 agility 254 recharge interval 6.50 safety of 195 and cost 14810.']",,['but strain-guage is worse in safety and cost compared to piezoelectric...'],,,"[""@Nassim Tehrani: is there any way that we can share our final batch results with eachother? | Alright so it's fair to say that series elastic is pretty much out of the question unless we were able to use a bunch of ROM that would make the battery life unrealistic?""]","['So we all agree that we are going to chose design 5 for our final presentation? | Okay i was just pointing out how close #2 is to #5 just with bad agility, but i agree on #5 as well. and the agility standard is a min of 122 but they would like to see it in the 200s']",,,['so an hour and half increase for about 1000 n drop in payload | yeah i agree with ROM 5']
,,,,,"[""I didn't have any great results but my best results were 700 payload, 122 agility, 7.6 recharge interval, 12440 cost and 229 safety rating | The best PAM design had payload 524 agility 254 recharge interval 6.50 safety of 195 and cost 14810.""]",,['strain gauge with NiCd? | but strain-guage is worse in safety and cost compared to piezoelectric...'],,,"[""I think we can forget about series elastic and possibly hydraulic.  I don't think either of those will be the best choice""]","['Okay i was just pointing out how close #2 is to #5 just with bad agility, but i agree on #5 as well. and the agility standard is a min of 122 but they would like to see it in the 200s | @Cameron: then i still choose #5']",,,"[""Well at least we could use rom5 because that doesn't even increase the agility and there is some battery left | well a low payload won't do anything if it is charged either""]"
,,,,,"['One of my best prototypes had a payload of 560, agility of 296, recharge interval of 5.98, cost of 13835 and a safety of 196 | Which attributes are going to be the most important to us?']",,['strain gauge with NiCd? | but strain-guage is worse in safety and cost compared to piezoelectric...'],,,"[""those are the standards requested, can the electric actuator get to around 6 hour recharge levels? | I think we can forget about series elastic and possibly hydraulic.  I don't think either of those will be the best choice""]","[""@Nassim Tehrani: it almost satisfies everyone. And where it doesn't meet their standards it comes very close to it. It comes closer than the other devices though for sure. We lack a little in cost, safety, and recharge, but we are very close the values.""]",,,"[""yeah i agree with ROM 5 | well a low payload won't do anything if it is charged either""]"
,,,,,"[""I didn't have any great results but my best results were 700 payload, 122 agility, 7.6 recharge interval, 12440 cost and 229 safety rating | Which attributes are going to be the most important to us?""]",,"['but strain-guage is worse in safety and cost compared to piezoelectric... | how about hydraulic, nicd, aluminum, stain-gauge, and rom 3']",,,"[""@Nassim Tehrani: Hello, my team worked on the Pneumatic Artificial Muscle actuator. It provided a good recharge interval but had a low payload capacity | I think we can forget about series elastic and possibly hydraulic.  I don't think either of those will be the best choice""]","[""@Cameron: then i still choose #5 | @Nassim Tehrani: it almost satisfies everyone. And where it doesn't meet their standards it comes very close to it. It comes closer than the other devices though for sure. We lack a little in cost, safety, and recharge, but we are very close the values.""]",,,"[""We have 3 variables that we've decided on. I think we should pick the best two of each materials and control sensor and test the two of those. Then we could maybe try one with a lower rom""]"
,,,,,['The best PAM design had payload 524 agility 254 recharge interval 6.50 safety of 195 and cost 14810. | Which attributes are going to be the most important to us?'],,['piezoelectric is even worse in cost'],,,['@Nassim Tehrani: Our designs were also relatively inexpensive. Increasing the ROM number would increase the payload but decrease the recharge interval'],"[""@Nassim Tehrani: it almost satisfies everyone. And where it doesn't meet their standards it comes very close to it. It comes closer than the other devices though for sure. We lack a little in cost, safety, and recharge, but we are very close the values.""]",,,"[""yeah i agree with the aluminum | We have 3 variables that we've decided on. I think we should pick the best two of each materials and control sensor and test the two of those. Then we could maybe try one with a lower rom""]"
,,,,,"[""I think cost shouldn't be a big factor if we get good performance out of the device""]",,['but strain-guage is worse in safety and cost compared to piezoelectric... | piezoelectric is even worse in cost'],,,"['@Nassim Tehrani: Hello, my team worked on the Pneumatic Artificial Muscle actuator. It provided a good recharge interval but had a low payload capacity | @Nassim Tehrani: Our designs were also relatively inexpensive. Increasing the ROM number would increase the payload but decrease the recharge interval']","[""@Cameron: then i still choose #5 | @Nassim Tehrani: it almost satisfies everyone. And where it doesn't meet their standards it comes very close to it. It comes closer than the other devices though for sure. We lack a little in cost, safety, and recharge, but we are very close the values.""]",,,"[""I feel if Alum was paired with NiCd and Piezoelectric and Strain Gauge it will be interesting | We have 3 variables that we've decided on. I think we should pick the best two of each materials and control sensor and test the two of those. Then we could maybe try one with a lower rom""]"
,,,,,"[""I didn't have any great results but my best results were 700 payload, 122 agility, 7.6 recharge interval, 12440 cost and 229 safety rating | I think cost shouldn't be a big factor if we get good performance out of the device""]",,"['how about hydraulic, nicd, aluminum, stain-gauge, and rom 3 | piezoelectric is even worse in cost']",,,"[""I think we can forget about series elastic and possibly hydraulic.  I don't think either of those will be the best choice | @Nassim Tehrani: Our designs were also relatively inexpensive. Increasing the ROM number would increase the payload but decrease the recharge interval""]","[""@Nassim Tehrani: it almost satisfies everyone. And where it doesn't meet their standards it comes very close to it. It comes closer than the other devices though for sure. We lack a little in cost, safety, and recharge, but we are very close the values. | @Nassim Tehrani: it almost satisfies everyone. And where it doesn't meet their standards it comes very close to it. It comes closer than the other devices though for sure. We lack a little in cost, safety, and recharge, but we are very close the values.""]",,,"[""I feel if Alum was paired with NiCd and Piezoelectric and Strain Gauge it will be interesting | We have 3 variables that we've decided on. I think we should pick the best two of each materials and control sensor and test the two of those. Then we could maybe try one with a lower rom""]"
,,,,,"[""The best PAM design had payload 524 agility 254 recharge interval 6.50 safety of 195 and cost 14810. | I think cost shouldn't be a big factor if we get good performance out of the device""]",,['piezoelectric is even worse in cost'],,,['My team found that the Pneumatic actuator works very well meeting the standards in multiple prototype designs and I think it will be better than the artificial muscle which is essentially a weaker Pneumatic design'],['And the cost is the lowest of any of our designs'],,,['yeah except the ROM is a 6 not 5']
,,,,,"[""Which attributes are going to be the most important to us? | I think cost shouldn't be a big factor if we get good performance out of the device""]",,['but strain-guage is worse in safety and cost compared to piezoelectric... | piezoelectric is even worse in cost'],,,"[""I think we can forget about series elastic and possibly hydraulic.  I don't think either of those will be the best choice | My team found that the Pneumatic actuator works very well meeting the standards in multiple prototype designs and I think it will be better than the artificial muscle which is essentially a weaker Pneumatic design""]","[""@Nassim Tehrani: it almost satisfies everyone. And where it doesn't meet their standards it comes very close to it. It comes closer than the other devices though for sure. We lack a little in cost, safety, and recharge, but we are very close the values. | And the cost is the lowest of any of our designs""]",,,['yeah except the ROM is a 6 not 5 | Cormick has that design with a ROM of 5']
,,,,,['Our prototypes did not do so well in the cost area. The higher the payload the higher the cost I found'],,"['how about hydraulic, nicd, aluminum, stain-gauge, and rom 3 | piezoelectric is even worse in cost']",,,['@Nassim Tehrani: Our designs were also relatively inexpensive. Increasing the ROM number would increase the payload but decrease the recharge interval | My team found that the Pneumatic actuator works very well meeting the standards in multiple prototype designs and I think it will be better than the artificial muscle which is essentially a weaker Pneumatic design'],"[""@Nassim Tehrani: it almost satisfies everyone. And where it doesn't meet their standards it comes very close to it. It comes closer than the other devices though for sure. We lack a little in cost, safety, and recharge, but we are very close the values. | And the cost is the lowest of any of our designs""]",,,"['Our payload was too low but overall successful | True, and what was challenging was picking the correct ROM']"
,,,,,"[""I think cost shouldn't be a big factor if we get good performance out of the device | Our prototypes did not do so well in the cost area. The higher the payload the higher the cost I found""]",,['piezoelectric is even worse in cost | piezoelectric is even worse in cost'],,,"['@Nassim Tehrani: Our designs were also relatively inexpensive. Increasing the ROM number would increase the payload but decrease the recharge interval | I agree, I think my top two are Pneumatic and Electric']","['One of my best prototypes had a payload of 560, agility of 296, recharge interval of 5.98, cost of 13835 and a safety of 196']",,,['and how the different materials affect the cost | prototype five was very expensive']
,,,,,"['Our prototypes did not do so well in the cost area. The higher the payload the higher the cost I found | @Casey: oh no problem, can you put up the numbers for your best design?']",,['piezoelectric is even worse in cost | satrin-gauge cost is low'],,,"['My team found that the Pneumatic actuator works very well meeting the standards in multiple prototype designs and I think it will be better than the artificial muscle which is essentially a weaker Pneumatic design | I agree, I think my top two are Pneumatic and Electric']","[""I didn't have any great results but my best results were 700 payload, 122 agility, 7.6 recharge interval, 12440 cost and 229 safety rating""]",,,['I think other actuators will be key | agility but low payload']
,,,,,"['Our prototypes did not do so well in the cost area. The higher the payload the higher the cost I found | Yeah 1036 payload, 212 agility, 6.3 recharge int. and 13385 for cost']",,['piezoelectric is even worse in cost | satrin-gauge cost is low'],,,['I think our best choice is to explore how good we can make the Pneumatic and Electric actuators function by using different batteries or ROM types or material or ...any suggestions as to how to go about choosing our 5 skeletons?'],"[""One of my best prototypes had a payload of 560, agility of 296, recharge interval of 5.98, cost of 13835 and a safety of 196 | I didn't have any great results but my best results were 700 payload, 122 agility, 7.6 recharge interval, 12440 cost and 229 safety rating""]",,,['I think other actuators will be key | agility but low payload']
,,,,,"['@Casey: oh no problem, can you put up the numbers for your best design? | Yeah 1036 payload, 212 agility, 6.3 recharge int. and 13385 for cost']",,"['and electric | One of my best prototypes had a payload of 560, agility of 296, recharge interval of 5.98, cost of 13835 and a safety of 196']",,,['@Nassim Tehrani: Our designs were also relatively inexpensive. Increasing the ROM number would increase the payload but decrease the recharge interval | I think our best choice is to explore how good we can make the Pneumatic and Electric actuators function by using different batteries or ROM types or material or ...any suggestions as to how to go about choosing our 5 skeletons?'],['The best PAM design had payload 524 agility 254 recharge interval 6.50 safety of 195 and cost 14810.'],,,['There seems to be expensive high performance and expensive devices or low performance and cheap devices | If i had to pick though i would also pick the Nickel Cadmium Battery']
,,,,,['Our prototypes did not do so well in the cost area. The higher the payload the higher the cost I found | Do you guys want to set threshholds for certain aspects and see which of our designs come closest to reaching them?'],,"['I worked with the PAM actuator | One of my best prototypes had a payload of 560, agility of 296, recharge interval of 5.98, cost of 13835 and a safety of 196']",,,['My team found that the Pneumatic actuator works very well meeting the standards in multiple prototype designs and I think it will be better than the artificial muscle which is essentially a weaker Pneumatic design | I think our best choice is to explore how good we can make the Pneumatic and Electric actuators function by using different batteries or ROM types or material or ...any suggestions as to how to go about choosing our 5 skeletons?'],"['One of my best prototypes had a payload of 560, agility of 296, recharge interval of 5.98, cost of 13835 and a safety of 196 | The best PAM design had payload 524 agility 254 recharge interval 6.50 safety of 195 and cost 14810.']",,,['There seems to be expensive high performance and expensive devices or low performance and cheap devices | I think NiCd was best option overall']
